aliment	ckal	hc	sucres	proteines	greix 	saturats	fibra	sodi
alberginia	21,02	2,39	2,2	1,25	0,18	0,03	2,5	0
alberginia al forn 1h a 210º	59,14	3,6	3,32	1,89	3,32	0,49	3,77	0,07
all	119	24,3	2,21	4,3	0,23	0,05	1	0,02
allioli	604,71	0,22	0,22	4,01	65,08	9,68	0	0,63
anxoves (4,5g x anxova)	177	0	0	26	8,1	1,28	0	13,5
api	19,2	2,47	2,47	1,19	0,2	0,05	1,4	0,1
arros blanc dacsa	344	75,3	0,5	7,6	1	0,2	2,1	0,01
arròs integral dacsa	315	61,7	1,6	8,2	2,5	0,5	14	0,01
arros llarg dacsa	344	75,3	0,5	7,6	0,9	0,2	2,8	0
bajoquetes planes	36,42	4,2	2,22	2,38	0,58	0,07	2,4	0
barreta aptonia frambusa xoco	414	70,9	30,4	5,4	11,3	6,2	3,7	0,38
barreta aptonia xocolate	418	70,2	27,6	6,7	11,5	6,4	3,3	0,48
brocoli	29	5,2	0,4	3	0,4	0,05	2,5	
carabass	28,37	4,59	3,89	1,13	0,13	0,07	2,16	0
Carlota	39,4	6,9	6,9	1,25	0,2	0,04	2,6	0,06
Ceba	31,85	5,3	5,3	1,19	0,25	0,09	1,8	0
ceba torrà	48,98	8,15	8,15	1,83	0,38	0,14	2,77	0
cereals allbran plus (fibra cagaora)	334	48	18	14	3,5	0,7	27	0,45
cereals copos avena integral	372	58,7	0,7	13,5	7	1,3	10	0,02
cereals copos de avena	373	56,5	1,1	14,9	7,6	1,5	9,5	0,01
cereals segó integral de blat	206	25	1	13	6	1	37	0,01
cervessa	42,4	3,12	3,12	0,5	0	0	0	0
cervessa	50							
cigrons secs	341	44,3	2,4	20,8	5,5	0,36	15,5	0,03
Copos arroz y trigo	371	75,8	12,9	13	1,1	0,7	2,8	0,7
corn flakes crownfield	375	83,5	8,5	6,8	0,8	0,2	3,3	0,68
Creilla	73,59	14,8	0,7	2,34	0,11	0,03	2,07	0,03
creïlla torrà	107,37	21,59	1,02	3,41	0,16	0,04	3,02	0,04
curasanets xoco comercial	478	43,8	24,1	7,8	29,5	11,4	2,8	0,55
Dentilles	304	40,6	1,1	23,18	1,7	0,23	17	0,24
doritos xili	504	59,3	3	7,7	25,5	13,7	3,3	0,8
ensalada	19,6	1,4	1,36	1,37	0,6	0,12	1,5	0
espinac	20,74	0,61	0,47	2,63	0,3	0,03	2,58	0,07
farina d'avena integral 	402	67,9		13,8	7,2			
farina blanca	341	70,6	0,7	9,86	1,2	0,16	4,28	0
Farina integral	322	58,28	2,1	12,7	2,2	0,28	9	0
fava tendra	50,4	4,2	0,4	5,4	0,2	0,03	5,1	0,02
faves	50,4	4,2	0,4	5,4	0,2		5,1	0,02
fesols blancs	338	61,6	2,7	21,4	1,6	0,19	15,7	0,019
